Yr-rec,Yr-died,SP,TAG,x,y,E,N,FAM,SPECIES,Status 2020,DBH 2020,PM'20,Flag 2020,OBSERVATIONS 2020,DBH 2014,PM'14,FLAG'14,OBS'14,DBH 2009,PM'09,OBS'09
2009,,10,304,6.3,4.6,81.3,104.6,MELI,Trichilia solitudinis,A,43.7,1.3,,,33.3,1.3,,,32.4,,"blood-red flecked inner bark, 6-8 large oblong leaflets w strong venation"
2009,,10,305,9.1,5.1,84.1,105.1,MYRI,Otoba parvifolia,A,12.5,1.3,,,12.5,1.3,,,12.2,,
2009,,10,306,9.1,7.7,84.1,107.7,MORA,Clarisia racemosa,A,20.2,1.3,,,19.7,1.3,,,19.3,,
2009,,10,307,8.9,7.9,83.9,107.9,URTI,Pourouma cecropiifolia,A,11,1.4,I,con rebrote,10.5,1.4,I,,10,1.4,
2009,,10,308,8,9.2,83,109.2,ICAC,Calatola venezuelana,A,10.1,1.3,,Tallo principal pudriendose,10.1,1.3,,,10,1.3,
2009,,10,309,9,11.3,84,111.3,AREC,Iriartea deltoidea,A,13.6,1.5,,,23.55,1.8,,,23.5,1.8,
2009,,10,310,9,12,84,112,MYRI,Otoba parvifolia,A,13.2,1.3,,,12.2,1.3,,,10.5,,
2009,2020,10,311,2,10.7,77,110.7,URTI,Pourouma cuspidata,D,,,MD,,20.8,1.4,,,18.2,1.4,
2009,2020,10,312,3,15.8,78,115.8,MORA,Brosimum alicastrum,D,,,MP,,55.8,2,,,47,3.5,estimado
2009,,10,313,4.5,15.2,79.5,115.2,MORA,Pseudolmedia laevis,A,30.3,1.3,,,27.7,1.3,,male flowers ,25.8,,
2009,,10,314,2,17.7,77,117.7,AREC,Iriartea deltoidea,A,NM,2.3,,,24.2,2.3,,,24,2.3,
2009,,10,315,3.9,21.2,78.9,121.2,ANNO,Ruizodendron ovale ,A,30.7,1.4,,,28.3,1.4,,,26.3,1.4,
2009,,10,316,6.2,20,81.2,120,URTI,Pourouma minor,A,12.5,1.3,,,12.1,1.3,,,11.5,,
2009,,10,317,8.9,20.5,83.9,120.5,LAUR,Caryodaphnopsis fosteri,A,24.4,1.3,,,24.1,1.3,,,23.6,,
2009,,10,318,9.8,18,84.8,118,MELI,Guarea gomma,A,33.5,1.3,,,33,1.3,,,31.5,,
2009,,10,319,10.3,16,85.3,116,EUPH,Sapium marmieri,A,21.1,1.3,,,18.6,1.3,,,15.3,,
